M1/M2,Spin1x,Spin1y,Spin1z,Spin2x,Spin2y,Spin2z,Fmass,Fmnorm,Fmint
1.749650617,-0.299154063,0.44685065,0.592468114,0.078746474,0.026861484,0.795392241,0.931349234,0.422318653,8.446373057
2.412349384,0,0,0.5001007,0,0,0.85128173,0.931386791,0.422645215,8.452904297
1.500547838,0,0,0.800721427,0,0,0.500076778,0.931672494,0.425129432,8.502588641
1.23826934,0.374857816,0.381848577,0.490564457,0.52976577,-0.269078152,0.515230967,0.931709301,0.425449473,8.508989455
1,0,-0.33623356,0.49850497,0,0.33623356,0.49850497,0.93200893,0.428054778,8.561095559
1,0,0.33623356,0.49850497,0,-0.33623356,0.49850497,0.93200962,0.428060778,8.561215551
2.258915342,-2.20E-07,1.93E-07,0.763095723,1.45E-07,4.40E-08,0.799568016,0.932143461,0.429224539,8.584490778
1.094997847,-0.015819929,0.04231539,0.359781692,0.004347554,-8.54E-05,0.689815835,0.932298738,0.430574689,8.611493771
0.999595261,0,0,0.199991044,0,0,0.800577754,0.932308292,0.430657762,8.613155231
1.749612671,-2.83E-08,7.16E-08,0.600190458,-2.59E-09,4.21E-08,0.799745804,0.93232676,0.430818343,8.616366854
1.005363036,0,0,0.19997934,0,0,0.80856831,0.93242207,0.431647073,8.632941461
0.999965559,0.714993401,-0.458261591,0.032407923,-0.064968626,-0.04747654,0.795914051,0.932529179,0.432578397,8.651567938
1,0.16815973,-0.29118725,0.49848678,-0.16815973,0.29118725,0.49848678,0.9325623,0.432866387,8.657327749
1,-0.16815973,0.29118725,0.49848678,0.16815973,-0.29118725,0.49848678,0.93256234,0.432866735,8.657334705
1.000000008,8.37E-09,-8.20E-09,0.500047452,-7.85E-09,9.67E-09,0.500047499,0.932651637,0.433643182,8.672863638
1,0,0,0.50046409,0,0,0.50046409,0.93265509,0.433673206,8.673464122
1.000014444,2.08E-08,1.33E-08,0.599857591,-2.62E-08,-7.95E-09,0.399887932,0.932657321,0.433692605,8.673852097
2.000304984,0.059958047,-0.005341893,0.847572911,-0.193522618,0.827587747,0.014480407,0.932685059,0.43393379,8.678675793
1.00000004,0,0,0.499923319,0,0,0.499923581,0.932693924,0.434010872,8.680217435
1.000049916,-0.168330942,0.515113849,0.588267435,0.029845913,-0.000986843,0.398770118,0.932772188,0.434691385,8.693827707
0.999953342,-0.664389776,0.444566105,0.028125036,0.06234665,0.043877729,0.796329509,0.932791846,0.434862314,8.697246274
0.999946668,-0.197940058,0.774653346,0.025705538,0.076920005,-0.007784053,0.796021469,0.932919486,0.435972157,8.719443134
1,-0.29120685,0.16811738,0.49848697,0.29120685,-0.16811738,0.49848697,0.9329373,0.436127051,8.722541026
1,0.29120685,-0.16811738,0.49848697,-0.29120685,0.16811738,0.49848697,0.93293751,0.436128877,8.722577545
0.999953272,0.661194663,-0.449286358,0.028363444,-0.062173942,-0.043074069,0.796385168,0.932956578,0.436294675,8.72589351
1.333401724,0.062488511,-0.022239766,0.797017868,-0.145148041,0.785981628,0.033939145,0.932964131,0.43636035,8.727206992
0.99995418,0.669998204,-0.43604118,0.028422944,-0.061253707,-0.044208198,0.796395044,0.932985584,0.436546886,8.730937713
0.999946852,-0.203410677,0.770885354,0.065450903,0.077581709,-0.006760834,0.795967361,0.932988474,0.436572015,8.73144029
1.175612161,0,0,0,0,0,0.850681386,0.933127675,0.437782382,8.755647633
1.147649498,-0.292849922,-0.336216635,0.52201259,-0.620108129,0.252807963,0.32577819,0.933214517,0.438537482,8.770749637
